0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
RGM.312878.0;OtherSpecimen;;Petrology;;EGYPT;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.312878.0;;;not applicable;SCHÜRMANNH.M.E. 27.4.1954.59B;metamorphic rocks of sedimentary origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.259460.0;OtherSpecimen;;Petrology;;SWITZERLAND;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.259460.0;;;not applicable;;metamorphic rocks of unknown origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1151861;OtherSpecimen;;Petrology;;Portugal;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1151861;;;thin section;Dr. Oen;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1151861/format/large;;;;;;;ICZN;WGS84
RGM.1019270;OtherSpecimen;;Petrology;;FRANCE;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1019270;;;not applicable;TELLINGEN H.W. VAN;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.14466;OtherSpecimen;;Petrology;;Netherlands;;;;;;;;;;;;;Roosberg bij Geulle;https://data.biodiversitydata.nl/naturalis/specimen/RGM.14466;;;not applicable;;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1019262;OtherSpecimen;;Petrology;;FRANCE;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1019262;;;not applicable;TELLINGEN H.W. VAN;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.272800.3086;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.272800.3086;;;not applicable;BROUWER H.A.;;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.322374.0;OtherSpecimen;;Petrology;;ITALY;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.322374.0;;;not applicable;SCHÜRMANNH.M.E. 1910-1912.Z;metamorphic rocks of unknown origin;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.321696.0;OtherSpecimen;;Petrology;;U.K.;;;;;;;;;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.321696.0;;;not applicable;SCHÜRMANNH.M.E. 28.7.1956.7A-I;plutonic rocks;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.500357;OtherSpecimen;;Petrology;;Sweden;;;;;;;;3.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.500357;;;not applicable;ZANDSTRA J.G.;natural rocks,origin unknown;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.310708.0;OtherSpecimen;;Petrology;;INDONESIA;;;;;;;;1.0;;;;;;https://data.biodiversitydata.nl/naturalis/specimen/RGM.310708.0;;;not applicable;KOPERBERGM.;carbonates;;;;;;;;;;;;;;;;;;;ICZN;WGS84
RGM.1158327;OtherSpecimen;;Petrology;;Sweden;;;;;;;;;;;;;Gieravardo- Joefjället;https://data.biodiversitydata.nl/naturalis/specimen/RGM.1158327;;;thin section;Verhoeff;;;;;;;;;;;;;https://medialib.naturalis.nl/file/id/RGM.1158327/format/large;;;;;;;ICZN;WGS84
